,Tag,Reader,Antenna,rssi
25:05.3,1000C50YLE000A07PW6,Adpter,3,-62
25:05.3,1000C0Y7LE000A07PY6,Adpter,3,-57.5
25:05.3,10004C0YLE000A07PV1,Adpter,3,-59.5
25:05.3,1000C50YLE000A07PW5,Adpter,3,-62
25:05.3,10004C0YLE000A07PV6,Adpter,3,-44
25:05.3,1000C0Y7LE000A07QP1,Adpter,3,-61.5
25:05.3,11000C0YLE000A07Q11,Adpter,3,-57
25:05.3,10200C0YLE000A07QT9,Adpter,3,-49
25:05.3,11000C0YLE000A07PS8,Adpter,3,-61.5
25:05.3,1000C0Y7LE000A07QG8,Adpter,3,-63
25:05.3,11000C0YLE000A07QS9,Adpter,3,-60.5
25:05.3,10030C0YLE000A07QU4,Adpter,3,-53.5
25:05.3,1000C50YLE000A07PW7,Adpter,3,-61.5
25:05.3,1000C50YLE000A07QE7,Adpter,3,-47.5
25:05.3,10030C0YLE000A07PU8,Adpter,3,-45
25:05.3,10200C0YLE000A07PT2,Adpter,3,-47.5
25:05.3,1000C0Y7LE000A07PY2,Adpter,3,-55
25:05.3,1000C0Y7LE000A07Q76,Adpter,3,-54.5
25:05.3,10004C0YLE000A07PV5,Adpter,3,-57.5
25:05.3,10004C0YLE000A07PV9,Adpter,3,-50
25:05.3,1000C0YL8E000A07Q80,Adpter,3,-67
25:05.3,1000C0YLE9000A07Q08,Adpter,3,-48
25:05.3,10200C0YLE000A07PT1,Adpter,3,-54
25:05.3,1000C06YLE000A07PX5,Adpter,3,-62
25:05.3,10200C0YLE000A07QT8,Adpter,3,-63
25:05.3,1000C0YLE9000A07Q01,Adpter,3,-58.5
25:05.3,10004C0YLE000A07PV2,Adpter,3,-60
25:05.3,1000C0Y7LE000A07PY7,Adpter,3,-46.5
25:05.3,1000C0YL8E000A07QQ8,Adpter,3,-50.5
25:05.3,1000C0Y7LE000A07QP7,Adpter,3,-60
25:05.3,1000C50YLE000A07QE5,Adpter,3,-55
25:05.3,1000C0YL8E000A07Q89,Adpter,3,-58.5
25:05.3,11000C0YLE000A07Q17,Adpter,3,-56.5
